start_airport,start_icao,end_airport,end_icao,route_name,route_passengers,start_pax_total,end_pax_total,start_pax_pct,year,data_quality
Frankfurt Main,EDDF,Malpensa,LIMC,Frankfurt Main - Malpensa,483269,70066509,28346074,0.69,2019,complete
Frankfurt Main,EDDF,Bergamo Orio Al Serio,LIME,Frankfurt Main - Bergamo Orio Al Serio,124196,70066509,13600898,0.18,2019,complete
Frankfurt Main,EDDF,Torino,LIMF,Frankfurt Main - Torino,192753,70066509,3839752,0.28,2019,complete
Frankfurt Main,EDDF,Linate,LIML,Frankfurt Main - Linate,329230,70066509,6535465,0.47,2019,complete
Frankfurt Main,EDDF,Bologna,LIPE,Frankfurt Main - Bologna,310750,70066509,9338293,0.44,2019,complete
Frankfurt Main,EDDF,Treviso,LIPH,Frankfurt Main - Treviso,97301,70066509,3200504,0.14,2019,complete
Frankfurt Main,EDDF,Ronchi Dei Legionari,LIPQ,Frankfurt Main - Ronchi Dei Legionari,7093699.714052393,70066509,718183,NA,2019,complete
Frankfurt Main,EDDF,Villafranca,LIPX,Frankfurt Main - Villafranca,156815,70066509,3315795,0.22,2019,complete
Frankfurt Main,EDDF,Marco Polo di Tessera,LIPZ,Frankfurt Main - Marco Polo di Tessera,485005,70066509,11454860,0.69,2019,complete
Frankfurt Main,EDDF,Fiumicino,LIRF,Frankfurt Main - Fiumicino,690898,70066509,43191420,0.99,2019,complete
Frankfurt Main,EDDF,Capodichino,LIRN,Frankfurt Main - Capodichino,214697,70066509,10387667,0.31,2019,complete
Frankfurt Main,EDDF,Pisa,LIRP,Frankfurt Main - Pisa,19374052.90491592,70066509,5357109,NA,2019,complete
Frankfurt Main,EDDF,Peretola,LIRQ,Frankfurt Main - Peretola,278957,70066509,2860307,0.4,2019,complete
Frankfurt Main,EDDF,Vilnius Intl,EYVI,Frankfurt Main - Vilnius Intl,226787,70066509,NA,0.32,2019,missing_end_pax
Frankfurt Main,EDDF,Luxembourg,ELLX,Frankfurt Main - Luxembourg,202031,70066509,NA,0.29,2019,missing_end_pax
Frankfurt Main,EDDF,Riga Intl,EVRA,Frankfurt Main - Riga Intl,252320,70066509,NA,0.36,2019,missing_end_pax
Frankfurt Main,EDDF,Alexaner The Great,LWSK,Frankfurt Main - Alexaner The Great,NA,70066509,NA,NA,2019,missing_end_pax
Frankfurt Main,EDDF,Luqa,LMML,Frankfurt Main - Luqa,356043,70066509,NA,0.51,2019,missing_end_pax
Frankfurt Main,EDDF,Schiphol,EHAM,Frankfurt Main - Schiphol,879896,70066509,71054718,1.26,2019,complete
